contractRowId,playerName,playerKey,playerId,pfrId,ageAtSigning,yearsExpAtSigning,prevSignedTeam,.pred_1,.pred_2,.pred_3,.pred_4,.pred_5,predictedTerm,expectedTerm
5444,Adam Thielen,adam thielen,00-0030035,ThieAd00,35,13,CAR,0.9794710728093987,0.01310902412698353,0.004746208344320591,0.001994414005129752,6.792807141674068e-4,1,1.0313018056876837
5445,Ajou Ajou,ajou ajou,00-0039957,NA,24,1,IND,0.7861531063855053,0.11346387395182624,0.08922475159469595,0.008717961187535808,0.0024403068804365914,1,1.3278284882255718
5446,Alex Bachman,alex bachman,00-0035602,BachAl00,29,7,LV,0.945705346861156,0.044824547843257304,0.0060083563319759895,0.0030872187645752894,3.745301990353857e-4,1,1.0676010375970768
5447,Anthony Miller,anthony miller,00-0034353,MillAn02,31,8,BAL,0.961060397943693,0.030802856372791808,0.005885314384394169,0.0016894442114837043,5.619870876374196e-4,1,1.0498897661265811
5448,Aron Cruickshank,aron cruickshank,00-0038422,NA,25,3,CHI,0.7735705333640489,0.12013252697235843,0.09450205465418234,0.009215350365943675,0.0025795346434666433,1,1.3471008259524206
5449,Austin Mack,austin mack,00-0035869,MackAu01,28,6,ATL,0.8820995076235288,0.08687228676091775,0.021843083897583958,0.0073225773708843365,0.001862544347085067,1,1.1599763640570788
5450,Austin Watkins,austin watkins,NA,NA,27,NA,PHI,0.7684461164871534,0.07739720700563554,0.14658231170153593,0.005917855530433771,0.0016565092752413623,1,1.3949414341009743
5451,Avery Davis,avery davis,00-0039186,NA,NA,3,DET,0.802871730064326,0.10458812250919483,0.08227144743792482,0.008022941141163519,0.0022457588473909136,1,1.302182876198099
5452,Bo Melton,bo melton,00-0037091,MeltBo00,26,4,GB,0.8375852993670458,0.1188308272298078,0.02767704394439534,0.014058800829612838,0.0018480286291382333,1,1.22375343212399
5453,Brandon Johnson,brandon johnson,00-0037382,JohnBr23,27,4,PIT,0.9483372863128898,0.04566842532196388,0.004466634564670646,0.0012583854408933794,2.6926835958211194e-4,1,1.0594539242123135
5454,Braxton Berrios,braxton berrios,00-0034419,BerrBr00,30,8,HOU,0.9525215235487798,0.03698367266623679,0.007922931843239448,0.002126076605494651,4.457953362491901e-4,1,1.0609909475141963
5455,Braxton Burmeister,braxton burmeister,NA,NA,27,NA,LA,0.7482066777648744,0.0838918539872619,0.15965137275133173,0.006445804303507996,0.0018042911930242803,1,1.4297491771725466
5456,Braxton Westfield,braxton westfield,NA,NA,NA,NA,IND,0.724071289024433,0.0919308942231561,0.17495714569348061,0.007063481440032703,0.001977189618897597,1,1.4709443884058058
5457,Braydon Johnson,braydon johnson,NA,NA,NA,NA,BUF,0.7182185220297587,0.09387966745396938,0.1786694931354264,0.007213214820339743,0.002019102560505632,1,1.480934708427864
5458,Braylon Sanders,braylon sanders,00-0037355,SandBr00,27,4,WAS,0.8846413139771013,0.08551134663977827,0.02146527948626588,0.006548908164531943,0.0018331517323228537,1,1.1554212370351975
5459,Brian Cobbs,brian cobbs,00-0039011,NA,26,3,ARI,0.8105365773927847,0.10044474643105704,0.0791407355800783,0.007717640605587104,0.002160299990492895,1,1.2905203393699465
5460,Bryan Thompson,bryan thompson,00-0038680,ThomBr05,26,3,BUF,0.8491677376883352,0.11149933770647481,0.02836785302603272,0.008567016660947965,0.0023980549182090936,1,1.2035283134142203
5461,Bryce Ford-Wheaton,bryce ford wheaton,00-0038477,FordBr00,26,3,NYG,0.9091827673805009,0.07722260998399841,0.009948196885955033,0.0028700699016328394,7.763558479130079e-4,1,1.108834636852459
5462,C.J. Johnson,c j johnson,NA,NA,NA,NA,SEA,0.72783432752673,0.0872212515615328,0.17585692841761763,0.007100063053974669,0.0019874294401447585,1,1.4681850153192708
5463,Cedrick Wilson,cedrick wilson,00-0020452,WilsCe00,47,25,MIA,0.9890026645831572,0.00741439369489751,0.0027226227975440426,6.721676649227942e-4,1.881512594783337e-4,1,1.0156287473226673
5464,Chase Cota,chase cota,00-0038651,CotaCh00,26,3,CLE,0.87655345285044,0.09150317503991842,0.02295938205472412,0.0070191965393614185,0.001964793515556131,1,1.1663387028296754
5465,Chris Coleman,chris coleman,00-0019038,ColeCh01,48,26,MIA,0.9879571920816398,0.00847091561563054,0.0027668376008994308,6.219926390470253e-4,1.8306206278334713e-4,1,1.016602816985704
5466,Chris Moore,chris moore,00-0032398,MoorCh00,32,10,WAS,0.9633769370572756,0.024613600157624267,0.007967326252035565,0.0032423922556298365,7.997442774346697e-4,1,1.0534744065383235
5467,Cody Chrest,cody chrest,00-0038430,NA,NA,3,IND,0.8095864960387273,0.10102554487088639,0.07946904108544581,0.007749656278434855,0.002169261726505654,1,1.2918896427831053
5468,Collin Johnson,collin johnson,00-0036254,JohnCo01,28,6,LV,0.9274120607326658,0.05887664639438109,0.010272227530470208,0.0027620501905805607,6.770151519022178e-4,1,1.0904153126346718
5469,Cornell Powell,cornell powell,00-0036647,PoweCo00,28,5,HOU,0.9029700277234974,0.06895637962495725,0.02019319219732689,0.006156961356692052,0.0017234390975265068,1,1.1347074044797933
5470,D'Wayne Eskridge,d wayne eskridge,NA,NA,28,NA,MIA,0.7280672423705719,0.09927126487167662,0.15869300544034404,0.011780624676057208,0.0021878626413502065,1,1.460750600345937
5471,Dallas Daniels,dallas daniels,NA,NA,NA,NA,DEN,0.7240803386667676,0.09193020583431961,0.17494885213754038,0.00706342854789224,0.0019771748134801933,1,1.470926895006998
5472,Daniel Arias,daniel arias,00-0038702,AriaDa00,27,3,ARI,0.8751691583977319,0.09247746713109949,0.02325895232113679,0.007105477198080168,0.001988944951951718,1,1.1682675831754206
5473,Dante Pettis,dante pettis,00-0034860,PettDa00,30,8,NO,0.9631770473360356,0.028093074675185573,0.005902443724217111,0.0024144550517206523,4.1297921284098193e-4,1,1.0487932441301455
5474,David Bell,david bell,00-0037257,BellDa02,25,4,CLE,0.9184757254133259,0.06158660543067676,0.014671091981763654,0.004049765016509433,0.0012168121577241973,1,1.1079453330746292
5475,David Durden,david durden,00-0038734,DurdDa00,27,3,DAL,0.9040499257379342,0.06074327871875684,0.02531022982610408,0.007732192423314567,0.0021643732938902488,1,1.1432178088164697
5476,David Sills,david sills,00-0035359,SillDa01,30,7,ATL,0.8976824545259383,0.083553123894757525,0.013647907365226282,0.003942668194631385,0.001173846019446504,1,1.1273723272868903
5477,David White Jr,david white jr,00-0039562,WhitDa06,25,2,BUF,0.8587310671313014,0.1045005668006016,0.026508262498354435,0.008016224754256826,0.002243878815485804,1,1.1905412813220242
5478,Dax Milne,dax milne,00-0036671,MilnDa00,26,5,CAR,0.8939076622140985,0.07756202022884572,0.020567464206024864,0.006208941588270051,0.0017539117627610522,1,1.14433942045675
5479,Deandre Carter,deandre carter,00-0031763,CartDe02,32,11,CLE,0.9681990901775396,0.02694602208025292,0.003537735652403686,0.0011232150928937887,1.9393699691013674e-4,1,1.0381668866513822
